"Plot Title: 10350004"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350004, SEN S/N: 10350004)","Intensity, Lux (LGR S/N: 10350004, SEN S/N: 10350004)","Good Battery (LGR S/N: 10350004)","Coupler Attached (LGR S/N: 10350004)","Host Connected (LGR S/N: 10350004)","Stopped (LGR S/N: 10350004)","End Of File (LGR S/N: 10350004)"
345,12/16/2019 09:20:00 AM,10.748,3100.0,,,,,
346,12/16/2019 09:30:00 AM,10.944,3961.1,,,,,
347,12/16/2019 09:40:00 AM,11.139,4305.6,,,,,
348,12/16/2019 09:50:00 AM,11.334,4822.3,,,,,
349,12/16/2019 10:00:00 AM,11.528,5338.9,,,,,
350,12/16/2019 10:10:00 AM,11.819,5511.1,,,,,
351,12/16/2019 10:20:00 AM,12.110,5166.7,,,,,
352,12/16/2019 10:30:00 AM,12.304,5511.1,,,,,
353,12/16/2019 10:40:00 AM,12.401,5511.1,,,,,
354,12/16/2019 10:50:00 AM,12.594,6544.5,,,,,
355,12/16/2019 11:00:00 AM,12.883,11022.3,,,,,
356,12/16/2019 11:10:00 AM,13.269,23422.4,,,,,
357,12/16/2019 11:20:00 AM,13.750,26178.0,,,,,
358,12/16/2019 11:30:00 AM,13.942,23422.4,,,,,
359,12/16/2019 11:40:00 AM,15.951,27555.7,,,,,
360,12/16/2019 11:50:00 AM,15.282,8266.7,,,,,
361,12/16/2019 12:00:00 PM,13.365,4650.0,,,,,
362,12/16/2019 12:10:00 PM,12.690,4305.6,,,,,
363,12/16/2019 12:20:00 PM,12.401,5338.9,,,,,
364,12/16/2019 12:30:00 PM,12.497,5511.1,,,,,
365,12/16/2019 12:40:00 PM,12.787,5166.7,,,,,
366,12/16/2019 12:50:00 PM,13.173,5511.1,,,,,
367,12/16/2019 01:00:00 PM,13.269,5338.9,,,,,
368,12/16/2019 01:10:00 PM,13.173,4822.3,,,,,
369,12/16/2019 01:20:00 PM,12.980,4994.5,,,,,
370,12/16/2019 01:30:00 PM,13.173,4650.0,,,,,
371,12/16/2019 01:40:00 PM,12.980,4477.8,,,,,
372,12/16/2019 01:50:00 PM,12.883,3788.9,,,,,
373,12/16/2019 02:00:00 PM,12.883,3961.1,,,,,
374,12/16/2019 02:10:00 PM,12.594,3616.7,,,,,
375,12/16/2019 02:20:00 PM,12.497,3272.2,,,,,
376,12/16/2019 02:30:00 PM,12.401,3272.2,,,,,
377,12/16/2019 02:40:00 PM,12.110,3444.5,,,,,
378,12/16/2019 02:50:00 PM,12.207,2927.8,,,,,
379,12/16/2019 03:00:00 PM,11.916,1808.3,,,,,
